indoors,created_at,session_id,gps_latitude,gps_longitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_relative_altitude,baro_pressure,env_context,env_mean_bldg_floors,env_activity,city_name,country_name
0,2016-08-28T14:38:00.401Z,2016-08-28T14:37:06.399Z,51.471117,-0.453319978,4,18.22082372,13.7109375,0.400000006,-0.483852386,100.8808746,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:38:01.401Z,2016-08-28T14:37:06.399Z,51.4711196,-0.453320649,4,18.48303849,13.7109375,0.400000006,-0.483852386,100.8808746,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:38:02.401Z,2016-08-28T14:37:06.399Z,51.47112249,-0.453321319,4,18.77857653,13.7109375,0.400000006,-0.483852386,100.8808746,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:38:03.401Z,2016-08-28T14:37:06.399Z,51.47112521,-0.453320397,4,19.08762564,3.1640625,0.400000006,-0.548938751,100.8816528,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:38:04.401Z,2016-08-28T14:37:06.399Z,51.47112521,-0.453320397,4,19.08762564,294.9609375,0,-0.548938751,100.8816528,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:38:05.401Z,2016-08-28T14:37:06.399Z,51.47112521,-0.453320397,4,19.08762564,291.796875,0,-0.593841553,100.8821945,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:38:06.401Z,2016-08-28T14:37:06.399Z,51.47112521,-0.453320397,4,19.08762564,151.875,0,-0.604938507,100.8823318,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:38:07.401Z,2016-08-28T14:37:06.399Z,51.47112521,-0.453320397,4,19.08762564,161.015625,0,-0.593841553,100.8821945,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:38:08.401Z,2016-08-28T14:37:06.399Z,51.47113054,-0.453312853,4,19.80612999,154.6875,0.430000007,-0.593841553,100.8821945,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:38:09.401Z,2016-08-28T14:37:06.399Z,51.47112815,-0.453309249,4,19.63495017,151.171875,0.400000006,-0.588291168,100.8821259,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T15:49:26.147Z,2016-08-28T15:49:25.146Z,51.59885188,-0.531111248,3,10,11.953125,2.599999905,0,100.1143112,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:27.147Z,2016-08-28T15:49:25.146Z,51.59887925,-0.531096747,3,10,11.6015625,3.119999886,0,100.1143112,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:28.147Z,2016-08-28T15:49:25.146Z,51.59890406,-0.531084342,3,10,11.953125,3.119999886,0,100.1159973,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:29.147Z,2016-08-28T15:49:25.146Z,51.59892878,-0.531075038,3,10,10.1953125,3.029999971,0,100.1159973,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:30.147Z,2016-08-28T15:49:25.146Z,51.59895791,-0.531064225,3,10,9.84375,3.029999971,-0.014213562,100.1161728,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:31.147Z,2016-08-28T15:49:25.146Z,51.59898985,-0.531054251,3,10,9.140625,3.210000038,-0.029441833,100.1163483,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:32.147Z,2016-08-28T15:49:25.146Z,51.59902539,-0.53104084,3,10,11.25,3.539999962,-0.094924927,100.1171341,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:33.147Z,2016-08-28T15:49:25.146Z,51.59906026,-0.531026088,3,10,11.953125,3.539999962,-0.094924927,100.1171341,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:34.147Z,2016-08-28T15:49:25.146Z,51.59909315,-0.53101276,3,10,12.65625,3.50999999,-0.172088623,100.1180496,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:35.147Z,2016-08-28T15:49:25.146Z,51.59912408,-0.531000104,3,10,12.3046875,3.329999924,-0.241127014,100.118866,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:36.147Z,2016-08-28T15:49:25.146Z,51.59914894,-0.530987531,3,10,11.25,2.670000076,-0.243156433,100.1188889,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:37.147Z,2016-08-28T15:49:25.146Z,51.59917245,-0.530980825,3,10,11.6015625,2.589999914,-0.243156433,100.1188889,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:38.147Z,2016-08-28T15:49:25.146Z,51.59919152,-0.53097412,3,10,11.25,2.109999895,-0.362960815,100.1203232,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:39.147Z,2016-08-28T15:49:25.146Z,51.59921,-0.530972779,3,10,9.4921875,2.190000057,-0.366516113,100.1203613,highway,0-2,driving,gerrards cross,united kingdom
